company_id,company_name,company_type,company_url,location,telephone,product_description,about_company,product_types,all_product_services,link_prod_services,brands,link_all_brands,primary_company_type,additional_activities,key_personnel,social_media,other_locations,annual_revenue,year_founded,num_employees,url,keyword
1150392,BDI,Distributor,https://www.bdiexpress.com/us/en/,"Cleveland, OH 44125",tel://866-778-5680,"Distributor of screwdrivers. Several styles and sizes are available. Other products include adhesives, bearings, chemicals, electrical and mechanical power transmission products, fluid power, linear motion control, tools, sealing devices, and other industrial tools and supplies.
Additional Screwdrivers details","Company Description by Thomasnet
Represents & provides local inventories on hundreds of thousands of products. Global source for MRO & OEM distribution of bearings, mechanical p/t, electrical p/t, hydraulic & pneumatic p/t, sealants & adhesives, hose & rubber products, conveyor belting, material handling systems, industrial tools & many other industrial products. Specializing in the replacement & application of all types & combinations of devices used in manufacturing facilities.
Company Description by BDI
Our sales and field service forces include highly skilled and trained individuals who specialize in the application of products and services that BDI offers. Working closely with our customers, we provide cost-saving solutions and value-added services including technical expertise, engineering support, repair and inspection, inventory management, product pipeline and storeroom management services.",['Screwdrivers'],"['Bearings', 'Conveyors', 'Motors', 'Transformers', 'Adhesives', 'Gearheads and Gearboxes', 'Gears', 'Additive Manufacturing Services', 'Belts', 'Motor Controllers and Drives', 'Tools', 'COVID-19 Response', 'Heaters', 'Safety Equipment', 'Power Supplies', 'Switches', 'Medical Personal Protective Equipment (PPE)', 'Actuators', 'Hose', 'Sensors / Detectors / Transducers', 'Cylinders', 'Harnesses', 'Bushings', 'Couplers and Couplings', 'Filters', 'Fittings', 'Plugs and Stoppers', 'Grease']",https://www.thomasnet.com/products-services.html?cov=NA&what=screwdrivers&heading=72206501&cid=1150392&search_position=1&product_family=151466,,,Distributor,"Service Company, Remanufacturer","['John Ruth, President', 'Carl James, CEO', 'Dan Maisonville, CFO', 'Bill Shepard, Vice President']","['https://www.linkedin.com/company/bdi', 'https://www.twitter.com/bdiusa', 'https://www.facebook.com/279490749665']",https://www.thomasnet.com/branches.html?what=screwdrivers&heading=72206501&cov=NA&cid=1150392&bloc=NA&WTZO=copro+biz+det,$250 Mil. and over,1935,1000+,https://www.thomasnet.com/branchloc.html?cid=1150392&cov=NA&goto=%2Fprofile%2F01150392%2Fbdi.html&heading=72206501&searchpos=1&what=screwdrivers,screwdrivers
961101,"Compressed Air Systems, Inc.",PathCOVID-19 Response,https://www.compressedairsystems.com/,"Tampa, FL 33619-2658",tel://855-537-0577,"Distributor of pneumatic screwdrivers for aerospace, electronics, medical, fleet maintenance, manufacturing, pharmaceutical, plastics processing, woodworking, food and beverage industries. Robertson, clutch, hex key, Phillips, precision, right angle, shut-off, slotted and torque screwdrivers are offered. Some screwdrivers are available in 90 psi air pressure and 600 to 9,000 rpm speed. Consists of alloy steel blades, handles and hexagonal or square shank shapes. Features include reversible, ratcheting, rear exhaust, adjustable torque and wear resistant. Suitable for mechanical and electronic applications.
Additional Screwdrivers details","Company Description by Thomasnet
Distributor of compressed air systems. Various products include abrasives, adapters, air guns, analyzers, beads, bearings, blowers, air compressors, controllers, coolers, couplings, detectors, drains, dryers and exhausters. Fittings, hose, horns, indicators, kits, lights, nipples, monitors, nozzles, plugs, pumps, pump parts, receivers, regulators, separators and silencers are also available. Capabilities include inspection, preventative maintenance, installation and engineering.
Company Description by Compressed Air Systems, Inc.
We offer many products, specializing in Air Compressor, Blower and Vacuum Systems. Our sales department is backed by our own in-house service, installation and rental departments. We sell, service and rent all types of compressors, pneumatic tools and equipment. Whether it's pumps or tools, our complete repair facility insures quick turn-around for your convenience. We service all makes and models and provide Consulting and Engineering services for new Compressed Air and Vacuum Systems, as well as improving existing systems.","['Screwdrivers', 'Screwdrivers: Pneumatic', 'Screwdrivers: Special']","['Compressors', 'Chillers', 'Pumps', 'Filters', 'Abrasive Blast Equipment', 'Compressor Parts', 'Generators', 'Sensors / Detectors / Transducers', 'Tanks', 'Cleaning Equipment', 'Oils', 'Vacuum Systems', 'Air Filtration Equipment & Supplies', 'COVID-19 Response', 'Dryers', 'Lubricants', 'Openers', 'Receivers', 'Regulators', 'Solid Film Lubricants', 'Adapters', 'Blowers', 'Brewers', 'Bushings', 'Caps', 'Connectors']",https://www.thomasnet.com/products-services.html?cov=NA&what=screwdrivers&heading=72206501&cid=961101&search_position=2&product_family=151847,"['Airman', 'Airtech', 'Ajax', 'Anderol', 'Apollo', 'Atlas Copco', 'Becker', 'Busch', 'Cejn', 'Champion', 'Chicago Pneumatic', 'Clemco', 'CompAir', 'Curtis', 'Curtis-Toledo', 'Deitech', 'Deltech', 'Desoutter', 'Diffuser', 'Dotco', 'Duro', 'Dwyer', 'Econoblast', 'Elmo Rietschle', 'Foster', 'FST', 'Gardner Denver', 'Genera', 'Goodall', 'Graco']",https://www.thomasnet.com/brands-carried.html?cov=NA&what=screwdrivers&heading=72206501&cid=961101&search_position=2,Distributor,"Manufacturer, Custom Manufacturer, Service Company","['Richard Hall, President', 'Walter Freeman, Vice-President', 'N.A. Hall, Secretary', 'P.J. Hall, Treasurer', 'Henry Freeman, General Manager', 'View All']","['https://www.linkedin.com/company/compressed-air-systems-inc-', 'https://www.twitter.com/CompAirSystems', 'http://aircompressors.compressedairsystems.com/blog', 'https://www.youtube.com/channel/UCvBeoqWzNlu4x5P-hmiK0AA/feed', 'https://www.facebook.com/CAS1963']",https://www.thomasnet.com/branches.html?what=screwdrivers&heading=72206501&cov=NA&cid=961101&bloc=NA&WTZO=copro+biz+det,Not Available,1963,50-99,https://www.thomasnet.com/branchloc.html?cid=961101&cov=NA&goto=%2Fprofile%2F00961101%2Fcompressed-air-systems-inc.html&heading=72206501&searchpos=2&what=screwdrivers,screwdrivers
587988,"CS Unitec, Inc.",Manufacturer,https://www.csunitec.com/,"Norwalk, CT 06850",tel://877-620-8480,"Manufacturer of non-sparking, non-magnetic and corrosion-resistant screwdrivers. Types include Philips, offset, striking and standard screwdrivers. Manufactured from special copper beryllium (CuBe) alloy to eliminate the risk of sparks in hazardous environments, hot zones and Ex Zones where explosive atmospheres (gases, mists, vapors or dusts) may be present. Comply with ATEX directives. Non-sparking chisels, wrenches, pliers, hammers and more available.
Additional Screwdrivers details","Company Description by Thomasnet
Manufacturer of heavy duty electric, pneumatic and hydraulic power tools and non-sparking, non-magnetic safety tools and OEM drive motors. Air and hydraulic tools for EX and ATEX Zones. Industrial metal working tools include portable magnetic drills, annular cutters, portable saws, sanding, polishing and grinding surface finishing tools, nibblers, nut runners, corner drills, drive motors, tube rolling motors and portable drills. Concrete and masonry tools include concrete core drilling machines, diamond core bits, concrete saws and saw blades, concrete grinders, dust extraction tools and vacuums, portable mixing drills and pneumatic and hydraulic SDS rotary hammer drills. Specialty tools include non-sparking, non-magnetic safety tools, air chain saws, air movers, explosion-proof axial fans, ventilators and OEM motors. Tool repair services are available.
Company Description by CS Unitec, Inc.
CS Unitec is a leader in power tools for construction, industry and mining. Our product line encompasses innovative, high-quality electric, hydraulic and pneumatic tools, which can be divided into four basic categories: metal working tools; concrete and masonry tools; specialty tools; and safety tools.

Under the metal working category, our portable magnetic drills provide fast, accurate hole cutting in and out of the shop. We offer the most compact and powerful portable magnetic drills for holes up to 5 diameter. Unique features include variable speeds, multiple gears and reversible motors for tapping and machining. Annular cutters achieve burr-free finished holes, without predrilling or stepdrilling. Our design features precision-ground flutes that provide efficient chip clearance for increased drilling productivity.

We also offer professional surface finishing tools and abrasive accessories for grinding, sanding, polishing, deburring and beveling materials ranging from steel, stainless More... steel and aluminum to rigid plastics and wood. Our line of metal working saws includes portable hacksaws, reciprocating saws and portable band saws. All are designed for the toughest service in industries such as petrochemical, power generation and construction. Rounding out our metalworking line are nibblers, nut runners, drills and drive units and corner drills.

 As for concrete and masonry tools, CS Unitec has the industrys most complete range of lightweight portable diamond core drilling machines and rigs. Enabling fast drilling of reinforced concrete, concrete, brick, block and stone, they are ideal for drilling holes in floors, walls, ceilings and all concrete anchoring systems. Our pneumatic concrete chain saws, with no gas or engine fumes, are the right choice for confined spaces and indoor use. Our hydraulic concrete chain saws are designed for heavy-duty mining, utility, marine and construction applications. We also offer pneumatic cut-off saws for wet or dry cutting of concrete and many other materials. Vacuums and dust extraction tools, portable mixers, hammer drills and spiked rollers complete our concrete tool line. 

 CS Unitecs specialty tools include a full range of tube rolling motors, drills and drive units. We meet the needs of all types of industrial applications with high-torque electric and pneumatic drills, some with multiple gears and variable speeds. Specialty tools such as pneumatic chain saws, air movers, axial fans and ventilators, as well as wood boring air drills for underwater applications, are also available. 

 Finally, we offer a complete line of high-quality non-sparking and non-magnetic safety tools. Special copper alloy safety hand tools are manufactured for use in high-risk areas where a spark could create a disaster. In addition, our reduced sparking diamond grinding discs for speed-controlled angle grinders are ideal for grinding steel, stainless steel and other materials in nuclear plants and oil and gas industries. Less","['Screwdrivers', 'Screwdrivers: Non-Sparking', 'Screwdrivers: Phillips', 'Screwdrivers: Special']","['Tools', 'Cleaning Equipment', 'Power Units', 'Saws', 'Hammers', 'Fans', 'Drills', 'Abrasive Compounds / Media', 'Bevelers', 'Chisels', 'Cutters and Cutting Machinery', 'Finishing Equipment', 'Hydraulic Equipment', 'Mills', 'Axes', 'Brushes', 'Construction Equipment', 'Deburring Equipment', 'Fabricating Machinery', 'Grinders', 'Hand / Tooling Punches', 'Kits', 'Knives', 'Motor Controllers and Drives', 'Polishers', 'Sanders']",https://www.thomasnet.com/products-services.html?cov=NA&heading=72206501&what=screwdrivers&cid=587988&search_position=3&product_family=159981,,,Manufacturer,"Distributor, Custom Manufacturer","['David Jacobs, Sales/Marketing/Advertising', 'Doug Dow, Sales Coordinator', 'Jennifer Neale, Sales & Marketing', 'Edward Bassett, Tech Service Mgr.', 'Ken Crowe, .']",,,$5 - 9.9 Mil,1990,10-49,https://www.thomasnet.com/profile/00587988/cs-unitec-inc.html?cid=587988&cov=NA&heading=72206501&searchpos=3&what=screwdrivers,screwdrivers
10040503,"Vibromatic Co., Inc.",PathCOVID-19 Response,https://www.vibromatic.net/,"Noblesville, IN 46061",tel://317-773-3885,"Manufacturer and distributor of standard and custom special screwdrivers including miniature screwdrivers, screw holding screwdrivers and torque controlling screwdrivers. Industries served include automotive, cosmetics, electronics, hardware and pharmaceuticals.
Additional Screwdrivers details","Company Description by Thomasnet
Manufacturer of standard/custom vibratory and mechanical parts handling systems, feeders and components. Products include prefeeders, stainless steel and Polycast® vibratory feeder bowls, vibratory hoppers, centrifugal/mechanical feeders, vibratory straight line drive units, vibratory bowl drives, floor feeders, stepper feeders, tracks, parts sorters, placement systems, orbital mechanical feed systems, orienting rolls, sound enclosures, controllers, screwdrivers, part assembly mechanisms, solid state controllers and linear feed systems. Offers design, repair and refurbishing services. Vibratory feeder coils spare parts are also available. Industries served include automotive, cosmetics, electronics, hardware and pharmaceutical.
Company Description by Vibromatic Co., Inc.
About Vibromatic Co., Inc., A Div. Vibrotrac

Since 1956 Vibromatic has been recognized as an innovative designer and manufacturer of world class part handling systems. Our committment to excellence extends across several industries; automotive, cosmetics, electronics, hardware, pharmaceuticals- even munitions","['Screwdrivers', 'Robotic Screwdrivers', 'Screwdrivers: Automatic', 'Screwdrivers: Electric', 'Screwdrivers: Miniature', 'Screwdrivers: Pneumatic', 'Screwdrivers: Pneumatic, Ergonomic', 'Screwdrivers: Screw Holding', 'Screwdrivers: Self-Feed', 'Screwdrivers: Special']","['Feeders and Feed Systems', 'Custom Machinery', 'Research, Design and Development Services', 'Automation Systems', 'Handling Equipment', 'Hoppers', 'Manufacturing Systems', 'Assemblies', 'Assembly Machinery', 'Bowls', 'Centering Equipment', 'Coils', 'Controls and Controllers', 'Conveyor Parts', 'Conveyors', 'COVID-19 Response', 'Dischargers', 'Drivers', 'Drives', 'Enclosures']",https://www.thomasnet.com/products-services.html?cov=NA&what=screwdrivers&heading=72206501&cid=10040503&search_position=4&product_family=163457,['Polycast'],,Custom Manufacturer,"Manufacturer, Service Company, Turnkey Systems Integrator",['Not Available'],,https://www.thomasnet.com/branches.html?what=screwdrivers&heading=72206501&cov=NA&cid=10040503&bloc=NA&WTZO=copro+biz+det,$1 - 4.9 Mil,Not Available,10-49,https://www.thomasnet.com/branchloc.html?cid=10040503&cov=NA&goto=%2Fprofile%2F10040503%2Fvibromatic-co-inc.html&heading=72206501&searchpos=4&what=screwdrivers,screwdrivers
448128,WAGO Corp.,Manufacturer,https://www.wago.com/us/,"Germantown, WI 53022",tel://888-828-4592,"Manufacturer of green screwdrivers for the automotive, railway system, power engineering, building, lighting, marine, offshore and process industries. Most items available in stock. RoHS compliant. JIT delivery.
Additional Screwdrivers details","Company Description by Thomasnet
Manufacturer of I/O Fieldbus devices, power supplies and Profibus components. Various products available include adapters, antennas, terminal blocks, connectors, relays, housings, voltage taps, UPS, interface modules, switches, touch panels, I/O modules, bus couplers, converters, controllers, labels, modules, mountings, plugs, cables, sensors, transformers, tubing and terminal strips. Also a distributor of fuse testers. Accessories such as carriers, interface ports, micro SD cards, screws, steel carrier rails and ferrules available. Crimpers, cable cutters, pliers, strippers, cable knives, T wrenches, cable ties, sleeves, transceivers, tapes, sockets, screwdrivers, pins, nuts, separator plates, cable markers, lockouts, levers, jumpers, brackets and circuit breakers are also provided. Serves the automotive, railway system, power engineering, building, lighting, marine, offshore and process industries. Most items available in stock. RoHS compliant. JIT delivery.
Company Description by WAGO Corp.
For over 35 years, we have been pioneering innovative connection systems in electrical engineering and electronics interface with our CAGE CLAMP® spring pressure connection technology. Today, our fieldbus independent WAGO-I/O-SYSTEM brings advanced functionality, flexibility, and freedom to the most complex automation applications. Our customers know through unconditional performance, support, and reliability that we empower them to execute the safe, efficient operation of their systems every time.",['Screwdrivers'],"['Connectors', 'Printed Circuit Boards', 'Power Supplies', 'Controls and Controllers', 'Electronic Components', 'Assemblies', 'Contacts', 'Relays', 'Blocks', 'Motor Controllers and Drives', 'Adapters', 'Amplifiers', 'Antennas', 'Arresters', 'Batteries', 'Boards', 'Brackets', 'Breakers', 'Busbars', 'Buses', 'Caps', 'Cards', 'Carriers', 'Cases', 'Circuit Board Components', 'Clamps', 'Coils', 'Communication Systems']",https://www.thomasnet.com/products-services.html?cov=NA&heading=72206501&what=screwdrivers&cid=448128&search_position=5&product_family=152465,"['Cage Clamp', 'CompactFlash', 'Epsitron', 'Jumpflex', 'Lever-Nuts', 'Linect', 'PicoMax', 'Push Wire', 'Testboy', 'TopJob', 'Wago', 'Winsta', 'X-Com', 'Xmore']",,Manufacturer,"Distributor, Custom Manufacturer, Turnkey Systems Integrator",['Not Available'],"['https://www.linkedin.com/company/wago-corporation', 'https://www.twitter.com/WAGOCorporation', 'https://www.youtube.com/user/WAGOCORP', 'https://www.facebook.com/213843135411156']",,$100 - 249.9 Mil,1979,200-499,https://www.thomasnet.com/profile/00448128/wago-corp.html?cid=448128&cov=NA&heading=72206501&searchpos=5&what=screwdrivers,screwdrivers
398766,Merrimac Industrial Sales,Distributor,https://merrimacindustrial.com/,"Haverhill, MA 01835",tel://844-226-6505,"Distributor of tri-lobe handle screwdrivers for pharmaceutical, textile, medical, defense, wastewater, food and beverage. Available in 10 in. overall length with Phillips, slotted, square, torx and nut drivers. . Secondary services include design, engineering and contract manufacturing. ITAR registered. UL listed.
Additional Screwdrivers details","Company Description by Thomasnet
Distributor of heating, measurement, vacuum and electronic equipment. Cordless, corded, air, concrete, cutting, electrician, hydraulic, metal working, plumbing, hand, test and measurement tools are available. Hammers, drills, drivers, tubing cutters, blowers, reciprocating saw, cut-off, wrenches, ratchets, saws, screw guns, rig motors, blades, drill bits, grinders, angle drills, screwdrivers, knife and pliers are offered. Management, control or drive systems, enclosures, controllers and controls are provided. Electrical and heating equipment include ovens, generators, electric coils or wires, motors, switches, electromechanical relays, circuit breakers, drives, transducers, transformers, fuses and sensors. Other services include repair. Serves the pharmaceutical, textile, automotive, medical, defense, plastic, wastewater treatment, food and beverage industries. ITAR registered. UL listed.
Company Description by Merrimac Industrial Sales
Merrimac Industrial provides the latest in cutting edge automation technology products from a large selection of leading manufacturers and is committed to maintaining high quantity inventories, on time deliveries and competitive pricing. Merrimac's experienced, knowledgeable and factory-trained staff can help solve virtually any control problem.

In 2010, Merrimac Industrial also opened the doors to its tool shop for sales and repairs. Its unrivaled repair technicians can fix any power tool as well as perform warranty tool repairs for a variety of brands. The shop has continued to grow and has expanded its product offerings to include lighting fixtures and much more!

Whether you need to source a product, solve an engineering problem, repair a piece of equipment, outsource manufacturing, or implement managed inventory, Merrimac Industrial Sales has the products, facilities and team to get the job done. We stand behind everything sold and serviced. Experience the difference with Merrimac! More... We look forward to hearing from you. Less",['Screwdrivers'],"['Panels', 'Heaters', 'Enclosures', 'Power Supplies', 'Motor Controllers and Drives', 'Actuators', 'Adapters', 'Alarms', 'Arresters', 'Assemblies', 'Automation Systems', 'Baths', 'Beams', 'Bearings', 'Blocks', 'Blowers', 'Boilers', 'Brackets', 'Braid', 'Brakes', 'Breakers', 'Bulbs', 'Bumpers', 'Bushings', 'Cabinets', 'Cases', 'Chains', 'Chambers']",https://www.thomasnet.com/products-services.html?cov=NA&what=screwdrivers&heading=72206501&cid=398766&search_position=6&product_family=157466,"['ABB', 'Acme Electric', 'Adalet', 'Aitken', 'Akron Electric', 'Allied Moulded', 'Allied Tube & Conduit', 'Altech', 'American Fittings', 'AMETEK', 'ASD Lighting', 'ATC', 'ATEX', 'Baldor', 'Barber-Colman', 'Bero', 'Blue M', 'Bosch', 'Boston Gear', 'Brad', 'Chessell', 'Chromalox', 'Convectronics', 'Crydom', 'Danaher', 'Danfoss', 'Dart', 'Dongan', 'Dwyer', 'Dynapar']",https://www.thomasnet.com/brands-carried.html?cov=NA&what=screwdrivers&heading=72206501&cid=398766&search_position=6,Distributor,"Custom Manufacturer, Service Company, Turnkey Systems Integrator","['Bob Benson, Sales', 'Russell Walters, CSR', 'Philip Aberizk, CSR', 'Leah Evangelista, CSR', 'Patricia Kungie, Marketing Mgr.']","['https://www.linkedin.com/company/merrimac-industrial-sales', 'https://www.youtube.com/channel/UCbRVP13cDtDgn0BmaSPnVWQ', 'https://www.facebook.com/merrimacindustrialsales/']",https://www.thomasnet.com/branches.html?what=screwdrivers&heading=72206501&cov=NA&cid=398766&bloc=NA&WTZO=copro+biz+det,$10 - 24.9 Mil,1978,50-99,https://www.thomasnet.com/branchloc.html?cid=398766&cov=NA&goto=%2Fprofile%2F00398766%2Fmerrimac-industrial-sales.html&heading=72206501&searchpos=6&what=screwdrivers,screwdrivers
10011482,Diamond Needle Corp.,Distributor,https://www.diamondneedle.com/,"Carlstadt, NJ 07072",tel://800-221-5818,"Distributor of screwdrivers. Available 3 in. to 10 in. blade length, 1/8 in. tip length & 6 5/8 in. to 13 5/8 in. total length with round shafts, plastic handles & vapor blasted tips to eliminate chipping. On-time delivery.
Additional Screwdrivers details","Company Description by Thomasnet
Distributor of needles, machine parts & supplies for sewing industries including those for apparel, bags, bedding, bookbinding, embroidery, furniture, hosiery, industrial textiles & leather.","['Screwdrivers', 'Screwdrivers: Miniature']","['Needles', 'Shears', 'Knives', 'Scissors', 'Gloves', 'Machinery Parts', 'Cleaning Compounds and Chemicals', 'Cutting Room Equipment', 'Notions', 'Oils', 'Attachments', 'Belts', 'Bindery Equipment', 'Blades', 'Clippers', 'Embroidery Equipment', 'Fasteners', 'Hooks', 'Loopers', 'Lubricants', 'Miscellaneous Fasteners', 'Pencils', 'Pens', 'Plates', 'Pliers', 'Quilting Supplies', 'Rippers', 'Skewers']",https://www.thomasnet.com/products-services.html?cov=NA&heading=72206501&what=screwdrivers&cid=10011482&search_position=7&product_family=157535,['CRESCENT'],,Distributor,"Manufacturer, Custom Manufacturer, Service Company",['Not Available'],,,Under $1 Mil,1949,10-49,https://www.thomasnet.com/profile/10011482/diamond-needle-corp.html?cid=10011482&cov=NA&heading=72206501&searchpos=7&what=screwdrivers,screwdrivers
30781253,"Ariel Premium Supply, Inc.",Service Company,https://www.arielpremium.com/thomasnet-landing-page,"Overland, MO 63114",tel://888-669-8907,"Advertising promotional services, offering screwdrivers. Some screwdrivers are available with LED light, magnet, carabiner clip, anti-slip ratchet handle, Phillips, hex and flathead.
Additional Screwdrivers details","Company Description by Thomasnet
Advertising promotional services, offering charging cables, key-chains, power-banks, hammers, bags, drinkwares, tumblers and stress relievers. Various health and wellness products include masks, protection kits and tools, sanitizers, cold packs, safety glasses, dispensers, lip balms, pedometers and sunscreens. Speakers, toys, cutters, candles, openers, diffusers, lamps, holders, mats, journals, calculators and travel blankets are also offered. Safety, sports and fitness products, first aid kits, cooling towels, headphones, phone stands, adapters, locks, umbrellas and pillows are available. Stock art design, packing and shipping services are provided. Blank orders accepted. Most items available in stock. Same day shipping offered upon request.
Company Description by Ariel Premium Supply, Inc.
Ariel Premium Supply is a top 40 supplier to the promotional product industry, offering a collection of imprinted technology, drinkware, home and health products.","['Screwdrivers', 'Screwdrivers: Advertising Specialty', 'Screwdrivers: Phillips', 'Screwdrivers: Special']","['COVID-19 Response', 'Medical Personal Protective Equipment (PPE)', 'Masks', 'Safety Equipment', 'Hurricane Personal Protective Equipment', 'Hurricane Response', 'Kits', 'Adapters', 'Advertising Specialties, Novelties, and Promotional Products', 'Air Fresheners', 'Backpacks', 'Bags', 'Balls', 'Balms', 'Bands', 'Bins', 'Blankets', 'Books', 'Bottles', 'Bowls', 'Boxes', 'Braces', 'Brushes', 'Buoys', 'Caddies', 'Calculators']",https://www.thomasnet.com/products-services.html?cov=NA&heading=72206501&what=screwdrivers&cid=30781253&search_position=8&product_family=164026,"['Crescent', 'Eclipse']",,Service Company,Manufacturer,['Not Available'],"['https://www.linkedin.com/company/ariel-premium-supply', 'https://www.twitter.com/ArielPremium', 'https://www.youtube.com/channel/UClhtyyZoFk5ZX_VuCb83leg', 'https://www.facebook.com/ArielPremium/']",,$50 - 99.9 Mil,1993,100-199,https://www.thomasnet.com/profile/30781253/ariel-premium-supply-inc.html?cid=30781253&cov=NA&heading=72206501&searchpos=8&what=screwdrivers,screwdrivers
10074686,"Kinter (K International, Inc.)",Manufacturer,https://www.kinter.com/index.html,"Waukegan, IL 60087",tel://877-783-1902,"Disposable hand tools. Suitable for hardware kits. Screwdrivers with Phillips, slotted, Torx or square drive blades. Single end wrenches & combo double ended wrenches for use with common hex bolts & nuts.
Additional Screwdrivers details","Company Description by Thomasnet
Direct mill importer of hanging hardware & fasteners for the POP, sign, display & bindery industries. Product line includes: sex bolts (Chicago screws), snap rings, screw rings, nylon fasteners, X-Mas tree clips, wall anchors (Zip-Its), chain, cable, crimps, gripper sign holders, hanging hardware, metal fasteners & disposable hand tools. Also handle numerous secondary operations in-house: custom kitting, high speed bagging & boxing, dyeing of nylon parts, painting of fastener heads, cable cutting & spooling & chain cutting.
Company Description by Kinter (K International, Inc.)
The premier one-stop resource for the latest retail display solutions.

""We have it here today, so you can have it there tomorrow.""","['Screwdrivers', 'Screwdrivers: Phillips', 'Screwdrivers: Screw Holding', 'Screwdrivers: Torx®']","['Mechanical Wire, Cable and Rope', 'Display Components', 'Electric Wire, Cable and Cable Assemblies', 'Hardware', 'Holders', 'Fasteners', 'Hook and Loop', 'Hooks', 'Cups', 'Rings', 'Screws', 'Anchors', 'Displays', 'Hangers', 'Point of Purchase (POP) Products', 'Ties', 'Binders', 'Bolts', 'Clips', 'Coins', 'Nuts', 'Studs', 'Washers', 'Acrylic', 'Adapters', 'Adhesives']",https://www.thomasnet.com/products-services.html?cov=NA&heading=72206501&what=screwdrivers&cid=10074686&search_position=9&product_family=152583,"['K-Ads', 'K-Frame', 'K-Stick', 'Kinter']",,Manufacturer,"Distributor, Custom Manufacturer","['Paul White, President - Sales & Marketing', 'Mike White, President - Engineering', 'Matt White, V.P. - Sales']","['https://www.linkedin.com/company/kinter', 'https://www.twitter.com/kinterdotcom', 'https://www.youtube.com/user/kintervideo']",,$25 - 49.9 Mil,1980,10-49,https://www.thomasnet.com/profile/10074686/kinter-k-international-inc.html?cid=10074686&cov=NA&heading=72206501&searchpos=9&what=screwdrivers,screwdrivers
10061335,Airmatic,PathCOVID-19 Response,https://www.airmatic.com/,"Malvern, PA 19355-3981",tel://800-332-9770,"Distributor of screw drivers including cordless screwdrivers & electric screwdrivers. Types of screwdrivers include precision miniature screwdrivers, insulation screwdrivers, pry bar screwdrivers & ergonomic cushioned grip screwdrivers. Screwdrivers available with full size handles, alloy steel blade, precision ground tip & bolster construction.
Additional Screwdrivers details","Company Description by Thomasnet
Woman-owned industrial distributor with installation and maintenance capabilities, offering equipment, machinery, and shop supplies to the industrial, construction, utility, government, and commercial markets. Products and services are sold through three business units: The Materials Management Group, The Tool Group and The Service Group. The Materials Management Group provides products and services to industries that convey, store, transport, and process powders and bulk solids from aggregates, cement, and chemicals to foods, grains, metals, power generation, and waste water treatment applications. The Tool Group provides power tools, personal protective equipment, materials-handling equipment, shop equipment and MRO supplies used for production, fabrication, assembly, metal removal, maintenance, and storage in manufacturing, construction, utility, and commercial applications. The Service Group provides fabrication, installation, and maintenance services to improve belt conveyor efficiency, mechanical clean-out services for silos and hoppers to eliminate material flow problems and shop modifications and repair services of products available.
Company Description by Airmatic
Founded in 1944, AIRMATIC, a fourth generation Distributor of industrial products, systems, and controls, helps clients increase productivity, cut maintenance costs and maintain a safer, cleaner work environment. For a tailored experience our product and services are offered through three synergetic business units:

- The Materials Management Group which specializes in solving problems in Powder and Bulk Solids Material Handling Systems;

- The Service Group which provides Installation Maintenance and Fabrication Services for Bulk Material Handling Equipment;

- The Tool Group which offers Power Tools, Industrial Supplies, and Safety Equipment.","['Screwdrivers', 'Screwdrivers: Cordless', 'Screwdrivers: Electric', 'Screwdrivers: Klein\x99', 'Screwdrivers: Pneumatic', 'Screwdrivers: Torque Controlling']","['Vibrators', 'Openers', 'Aerators', 'Cannons', 'Cleaning Services', 'Feeders and Feed Systems', 'Maintenance and Repair Services', 'Miscellaneous Fasteners', 'Railroad Equipment', 'Shakers', 'Clips', 'Fasteners', 'Hats', 'Helmets', 'Impactors', 'Installation Services', 'Mechanical Wire, Cable and Rope', 'Motors', 'Reinforcements', 'Separators', 'Starters', 'Valves', 'Vulcanizing Services', 'Abrasive Compounds / Media']",https://www.thomasnet.com/products-services.html?cov=NA&heading=72206501&what=screwdrivers&cid=10061335&search_position=10&product_family=156707,"['American Saw', 'Ampco', 'Apex', 'Bahco', 'Bondhus', 'CDI', 'Champion', 'Channellock', 'Chicago Pneumatic', 'Cleco']",https://www.thomasnet.com/brands-carried.html?cov=NA&heading=72206501&what=screwdrivers&cid=10061335&search_position=10,Distributor,"Manufacturer, Custom Manufacturer, Service Company, Finishing Service Company, Turnkey Systems Integrator",['Not Available'],"['https://www.linkedin.com/company/airmatic-inc', 'https://www.facebook.com/162734370423004']",,Not Available,1944,10-49,https://www.thomasnet.com/profile/10061335/airmatic.html?cid=10061335&cov=NA&heading=72206501&searchpos=10&what=screwdrivers,screwdrivers
