company_id,company_name,company_type,annual_revenue,year_founded,num_employees,location,company_url,brands,description,url,telephone,searchterm
1150392,BDI,Distributor*,$250 Mil. and over,1935,1000+,Locations,https://www.bdiexpress.com/us/en/Tools/c/Tools,,"Distributor of screwdrivers. Several styles and sizes are available. Other products include adhesives, bearings, chemicals, electrical and mechanical power transmission products, fluid power, linear motion control, tools, sealing devices, and other industrial tools and supplies.",https://www.thomasnet.com/branchloc.html?cid=1150392&cov=NA&goto=%2Fprofile%2F01150392%2Fbdi.html&heading=72206501&searchpos=1&what=screwdrivers,tel://866-778-5680,screwdrivers
961101,"Compressed Air Systems, Inc.",Distributor*,,1963,50-99,Locations,https://catalog.compressedairsystems.com/category/all-categories-pneumatic-air-tools,,"Distributor of pneumatic screwdrivers for aerospace, electronics, medical, fleet maintenance, manufacturing, pharmaceutical, plastics processing, woodworking, food and beverage industries. Robertson, clutch, hex key, Phillips, precision, right angle, shut-off, slotted and torque screwdrivers are offered. Some screwdrivers are available in 90 psi air pressure and 600 to 9,000 rpm speed. Consists of alloy steel blades, handles and hexagonal or square shank shapes. Features include reversible, ratcheting, rear exhaust, adjustable torque and wear resistant. Suitable for mechanical and electronic applications.",https://www.thomasnet.com/branchloc.html?cid=961101&cov=NA&goto=%2Fprofile%2F00961101%2Fcompressed-air-systems-inc.html&heading=72206501&searchpos=2&what=screwdrivers,tel://855-537-0577,screwdrivers
587988,"CS Unitec, Inc.","Manufacturer*, Custom Manufacturer",$5 - 9.9 Mil,1990,10-49,"Norwalk, CT",http://catalog.csunitec.com/category/screwdrivers,,"Manufacturer of non-sparking, non-magnetic and corrosion-resistant screwdrivers. Types include Philips, offset, striking and standard screwdrivers. Manufactured from special copper beryllium (CuBe) alloy to eliminate the risk of sparks in hazardous environments, hot zones and Ex Zones where explosive atmospheres (gases, mists, vapors or dusts) may be present. Comply with ATEX directives. Non-sparking chisels, wrenches, pliers, hammers and more available.",https://www.thomasnet.com/profile/00587988/cs-unitec-inc.html?cid=587988&cov=NA&heading=72206501&searchpos=3&what=screwdrivers,tel://877-620-8480,screwdrivers
10040503,"Vibromatic Co., Inc.","Custom Manufacturer*, Manufacturer, Service Company",$1 - 4.9 Mil,,10-49,Locations,https://www.vibromatic.net/,,"Manufacturer and distributor of standard and custom special screwdrivers including miniature screwdrivers, screw holding screwdrivers and torque controlling screwdrivers. Industries served include automotive, cosmetics, electronics, hardware and pharmaceuticals.",https://www.thomasnet.com/branchloc.html?cid=10040503&cov=NA&goto=%2Fprofile%2F10040503%2Fvibromatic-co-inc.html&heading=72206501&searchpos=4&what=screwdrivers,tel://317-773-3885,screwdrivers
448128,WAGO Corp.,Manufacturer*,$100 - 249.9 Mil,1979,200-499,"Germantown, WI",https://www.wago.com/us/screwdriver/p/210-769,,"Manufacturer of green screwdrivers for the automotive, railway system, power engineering, building, lighting, marine, offshore and process industries. Most items available in stock. RoHS compliant. JIT delivery.",https://www.thomasnet.com/profile/00448128/wago-corp.html?cid=448128&cov=NA&heading=72206501&searchpos=5&what=screwdrivers,tel://888-828-4592,screwdrivers
398766,Merrimac Industrial Sales,Distributor*,$10 - 24.9 Mil,1978,50-99,Locations,https://merrimacindustrial.com/milwaukee-48-22-2761-comfortable-tri-lobe-handle-11-piece-11-in-1-screwdriver,,"Distributor of tri-lobe handle screwdrivers for pharmaceutical, textile, medical, defense, wastewater, food and beverage. Available in 10 in. overall length with Phillips, slotted, square, torx and nut drivers. . Secondary services include design, engineering and contract manufacturing. ITAR registered. UL listed.",https://www.thomasnet.com/branchloc.html?cid=398766&cov=NA&goto=%2Fprofile%2F00398766%2Fmerrimac-industrial-sales.html&heading=72206501&searchpos=6&what=screwdrivers,tel://844-226-6505,screwdrivers
10011482,Diamond Needle Corp.,Distributor*,Under $1 Mil,1949,10-49,"Carlstadt, NJ",http://www.diamondneedle.com/information.htm,CRESCENT,"Distributor of screwdrivers. Available 3 in. to 10 in. blade length, 1/8 in. tip length & 6 5/8 in. to 13 5/8 in. total length with round shafts, plastic handles & vapor blasted tips to eliminate chipping. On-time delivery.",https://www.thomasnet.com/profile/10011482/diamond-needle-corp.html?cid=10011482&cov=NA&heading=72206501&searchpos=7&what=screwdrivers,tel://800-221-5818,screwdrivers
30781253,"Ariel Premium Supply, Inc.",Service Company*,$50 - 99.9 Mil,1993,100-199,"Overland, MO",https://www.arielpremium.com/products/subcategory/TT/MF,"Crescent, Eclipse","Advertising promotional services, offering screwdrivers. Some screwdrivers are available with LED light, magnet, carabiner clip, anti-slip ratchet handle, Phillips, hex and flathead.",https://www.thomasnet.com/profile/30781253/ariel-premium-supply-inc.html?cid=30781253&cov=NA&heading=72206501&searchpos=8&what=screwdrivers,tel://888-669-8907,screwdrivers
10074686,"Kinter (K International, Inc.)","Manufacturer*, Distributor",$25 - 49.9 Mil,1980,10-49,"Waukegan, IL",http://products.kinter.com/viewitems/k-stick-accessories/economy-screwdrivers,,"Disposable hand tools. Suitable for hardware kits. Screwdrivers with Phillips, slotted, Torx or square drive blades. Single end wrenches & combo double ended wrenches for use with common hex bolts & nuts.",https://www.thomasnet.com/profile/10074686/kinter-k-international-inc.html?cid=10074686&cov=NA&heading=72206501&searchpos=9&what=screwdrivers,tel://877-783-1902,screwdrivers
10061335,Airmatic,Distributor*,,1944,10-49,"Malvern, PA",https://www.airmatic.com/,"American Saw, Ampco, Apex, Bahco, Bondhus, CDI, Champion, Channellock, Chicago Pneumatic, Cleco, Crescent, DeWalt, Eklind, Flexco, Fuller, General, Great Neck, Ho-Pac, Irwin, KD, Kastar, Klein, Lutz, Metal Removal, Michigan Pneumatic, Milwaukee, Mountz, Porter Cable, Proto, Riten, SK, Senco,...","Distributor of screw drivers including cordless screwdrivers & electric screwdrivers. Types of screwdrivers include precision miniature screwdrivers, insulation screwdrivers, pry bar screwdrivers & ergonomic cushioned grip screwdrivers. Screwdrivers available with full size handles, alloy steel blade, precision ground tip & bolster construction.",https://www.thomasnet.com/profile/10061335/airmatic.html?cid=10061335&cov=NA&heading=72206501&searchpos=10&what=screwdrivers,tel://800-332-9770,screwdrivers
30533188,Staubli Electrical Connectors,Manufacturer*,$50 - 99.9 Mil,1892,50-99,"Windsor, CA",https://ec.staubli.com/products/parts.php?cat=is,,"Manufacturer of connectors, adapters, contacts, measuring devices, sockets, plugs, wire and washers. Types of connectors include photovoltaic, miniature, compressed air plug, screw, rectangular, cable, circuit and electric connectors. Fixing bands, binding posts, junction boxes, brackets, connecting bridges, cable assemblies, protective caps and covers, plastic cases, clamps, clips, touch-protected converters, couplers, adhesive foil, wall-mounting holders, coupler hoods, housings, safety test leads and probes, nuts, stripping pincers, plug pins, mounting plates, pliers, adapter rails, lock rings, cross-slotted screwdrivers, sleeves, spacers, assembly tools, trolleys, test tweezers and torque wrenches are also available. Applicable for the power generation and distribution, transportation, telecommunications, automation, robotics, military, renewable energy and medical industries.",https://www.thomasnet.com/profile/30533188/staubli-electrical-connectors.html?cid=30533188&cov=NA&heading=72206501&searchpos=11&what=screwdrivers,tel://877-755-8051,screwdrivers
423974,"Walter Stern, Inc.","Manufacturer*, Custom Manufacturer",$1 - 4.9 Mil,1945,1-9,"Port Washington, NY",http://lab-instruments.waltersterninc.com/category/miscellaneous-laboratory-supplies,,Manufacturer of screwdrivers in 3 in. to 6 in. sizes. Screwdriver sets made from hardened alloy steel are also available.,https://www.thomasnet.com/profile/00423974/walter-stern-inc.html?cid=423974&cov=NA&heading=72206501&searchpos=12&what=screwdrivers,tel://516-883-9100,screwdrivers
1082648,BMB Fasteners,"Manufacturer*, Distributor",,1976,10-49,Locations,https://www.bmbfasteners.com/,"ASM, Amatom, Avdel, Channellock, Cherry, Drive-Lok, Eklind, PMP, Taptite, VIP","ISO 9001:2000 certified. Manufacturer & distributor of display hardware including binding posts, ceiling hooks, screwdrivers, wrenches & sign holders. Other products include fasteners, clips, cable ties, snap rings, jack chains, S-hooks, suction cups, rivets, steel cable assemblies, anchors, cable sleeves & crimps & bolts.",https://www.thomasnet.com/branchloc.html?cid=1082648&cov=NA&goto=%2Fprofile%2F01082648%2Fbmb-fasteners.html&heading=72206501&searchpos=13&what=screwdrivers,tel://877-289-3890,screwdrivers
849799,"Caylor Industrial Sales, Inc.",Distributor*,$10 - 24.9 Mil,1980,10-49,"Dalton, GA",,"DeWalt, Facom, Metabo, Ridgid, S-K Tools, SK","Full service industrial distributor. A wide variety of products are available, including valves, fittings, pipe & tube hangers, fasteners, anchors, clamps, presses, batteries, tools, actuators, structural steel, and metal alloys.",https://www.thomasnet.com/profile/00849799/caylor-industrial-sales-inc.html?cid=849799&cov=NA&heading=72206501&searchpos=14&what=screwdrivers,tel://866-320-9498,screwdrivers
123318,"Haggard & Stocking Associates, Inc.",Distributor*,$50 - 99.9 Mil,1972,50-99,Locations,https://www.haggard-stocking.com/,,"Distributor of hand tools including screwdrivers. Products include hobby, utility and putty knives, scrapers, snips, scissors, shears, deburring blades and holders, hex and torx bits, drivers, nut drivers, sockets, extensions, adapters, ratchets, wrenches, files, pliers, plumbing tools, hammers and mallets. Vendor managed inventory (VMI) programs available.",https://www.thomasnet.com/branchloc.html?cid=123318&cov=NA&goto=%2Fprofile%2F00123318%2Fhaggard-stocking-associates-inc.html&heading=72206501&searchpos=15&what=screwdrivers,tel://866-974-9420,screwdrivers
1150381,"Hi-Tech Fasteners, Inc.",Distributor*,$10 - 24.9 Mil,1988,10-49,Locations,https://www.htfinc.com/,,"ISO 9001:2008 certified distributor of fastener installation tools including screwdrivers. Markets served include electronics, telecommunications, medical, computer, aerospace, instrumentation, military and defense. JIT delivery available.",https://www.thomasnet.com/branchloc.html?cid=1150381&cov=NA&goto=%2Fprofile%2F01150381%2Fhitech-fasteners-inc.html&heading=72206501&searchpos=16&what=screwdrivers,tel://833-934-1953,screwdrivers
30875210,Freres Building Supply,Distributor*,$10 - 24.9 Mil,1942,10-49,"Stayton, OR",https://www.freresbuildingsupply.com/hardware-tool-supplies,,"Distributor of screwdrivers. Additional services include screen or window repair, custom paint mixing, glass and plexiglass cutting. Nail or staple guns and insulation blowers are available on rent.",https://www.thomasnet.com/profile/30875210/freres-building-supply.html?cid=30875210&cov=NA&heading=72206501&searchpos=17&what=screwdrivers,tel://866-900-4633,screwdrivers
455800,Nitto Kohki,Manufacturer*,$10 - 24.9 Mil,,10-49,"Roselle, IL",http://www.nittokohki.com/delvo/products/Screwdrivers/,Devlo,"Manufacturer of low torque electric screwdrivers. Available in various configurations. Features vary depending upon model, including anti-static, shielded designs, adjustable control, brushless motors, ergonomic grips and clear plastic torque adjustment covers. Suitable for screw fastening counter applications.",https://www.thomasnet.com/profile/00455800/nitto-kohki.html?cid=455800&cov=NA&heading=72206501&searchpos=18&what=screwdrivers,tel://855-334-9044,screwdrivers
452870,"Guenther Supply, Inc.","Distributor*, Service Company",$10 - 24.9 Mil,1946,10-49,"Fond Du Lac, WI",,,"Distributor of pipe, tubing, valves, pipe fittings, hangers, strut products, hose, hose fittings, pipe insulation and jacketing products, heating specialties, pumps, piping specialties, chemicals and tools. Types of fittings: bushings, nipples, couplings and plugs. Chemical products such as thread sealants, PVC and CPVC cement, primer, silver solder, anti-seize compounds, flux, leak detectors, paint markers, hand cleaners, fire stop products, thread cutting oils and protective tapes are also available. Available tools include flame tools, saws, blades, bits, power tools, pipe threading equipment, drain cleaning equipment, propress tools and fittings. Heating supplies include pumps, hydronic heating equipment, vents, expansion tanks, boiler controls, steam traps and regulators. Pumps include centrifugal pumps, utility pumps and circulating pumps. Services include custom hose assembly and in-house valve actuation. 24/7 pager service is available for emergency after-hours needs.",https://www.thomasnet.com/profile/00452870/guenther-supply-inc.html?cid=452870&cov=NA&heading=72206501&searchpos=19&what=screwdrivers,tel://844-339-4507,screwdrivers
417864,"USATCO/US Air Tool Co., Inc.","Manufacturer*, Distributor",,1951,10-49,Locations,https://www.usatco.com/products/59/Screwdrivers/,"APEX, ATI, Allen, Cherry, Cherry-Aerospace, Chicago Pneumatic, Cooper, Dotco, Hutchins, Irwin, JP Tools, POP, RiveDrill, Zepher","Manufacturer & distributor of aerospace, defense, metal cutting production, maintenance & industrial tools. Portable pneumatic air tools, pneumatic riveters & screwdrivers. Rivet, rivet setting & riveting tools, terminal swager kits & swaged terminal pull tester kits. Specializing in pneumatic, riveting, metal working & composite tools, routers, drill bits, countersinks, drill attachments, saws & shears. CE Certified.",https://www.thomasnet.com/branchloc.html?cid=417864&cov=NA&goto=%2Fprofile%2F00417864%2Fusatco-us-air-tool-co-inc.html&heading=72206501&searchpos=20&what=screwdrivers,tel://800-645-8180,screwdrivers
